file,status,windows,traces,one_step_voltage_mae_mV,rollout_errors,rollout_voltage_mae_mV,status_qc,temperature_bad_ratio
RW1,ok,40918,16977,0.9804719109369505,221920,12.347456898324852,ok,0.0
RW2,ok,39965,16955,86.85839692507969,217760,920.9789874755837,excluded_temperature_qc,0.90550967364945
RW3,ok,42170,12798,70.18710635187277,230660,747.9311870496147,excluded_temperature_qc,0.7337527216717427
RW4,ok,38899,10936,0.6833468192297713,212200,9.033361148798274,ok,0.0
RW5,ok,40300,11596,0.6692239131880161,219880,8.791018921213842,ok,0.0
RW6,ok,24700,7075,0.7584215851447843,136560,9.191351707050098,ok,0.0
RW7,ok,40613,17235,2.35398808464445,220640,25.847098277348206,ok,0.0
RW8,ok,38733,16265,2.014803479539124,211420,22.68094505092277,ok,0.0
RW9,ok,107571,104978,2.5524560880630425,614340,28.31111582578981,ok,0.0
RW10,ok,108696,103078,2.419458066793329,616720,26.978975538172012,ok,0.0
RW11,ok,109940,101637,2.6144332943861324,619860,27.38484519948588,ok,0.0
RW12,ok,110304,99608,2.5057967591188874,616900,25.632614889715338,ok,0.0
RW13,ok,4577,56001,0.7968400017986501,40940,8.359842272927601,ok,0.0
RW14,ok,4486,45828,0.7652202143607477,40160,7.997062416618089,ok,0.0
RW15,ok,4505,47688,0.7684197462888457,40820,7.9400499431716645,ok,0.0
RW16,ok,3582,42342,0.8309459233670046,31640,8.861161960874284,ok,0.0
RW17,ok,4838,30865,0.8824199820018199,42360,9.208685107001502,ok,0.0
RW18,ok,4697,31848,14.270806277029205,41880,145.24739624718427,ok,0.16732303630200346
RW19,ok,4496,33844,0.9210792194481847,40460,10.07145396655465,ok,0.0
RW20,ok,4864,28985,1.2090107622115236,42300,14.044809771779018,ok,0.0
RW21,ok,2422,42609,6.814152420699153,21940,74.9438190997462,ok,0.0
RW22,ok,2277,39467,6.843047022662458,20060,75.40271228046741,ok,0.0
RW23,ok,2385,41597,6.857170948692337,21500,75.23309799008037,ok,0.0
RW24,ok,2427,40247,6.775404722247538,22160,73.72891439255395,ok,0.0
RW25,ok,2652,20379,6.6503426607917335,24860,71.00763339443928,ok,0.0
RW26,ok,2782,16491,6.655217074045254,27360,69.55951212268127,ok,0.0
RW27,ok,2675,23522,6.763952023515078,24780,73.23492272202289,ok,0.0
RW28,ok,2682,21002,6.705521648273283,24980,71.90056037162188,ok,0.0
