sample,current_A,voltage_min_V,voltage_mean_V,voltage_max_V,voltage_spread_mV,temperature_min_C,temperature_mean_C,temperature_max_C,consistency_proxy_percent,soc_mean_percent,soc_min_percent,soc_max_percent
0,131.5,3.2610002,3.2622501999999995,3.2630002,2.000000000000224,30.0,30.0,30.0,99.4312525,9.660192765295506,8.880716562271118,10.309867560863495
1,136.90015,3.2600002,3.26212515,3.2630002,3.0000000000001137,30.0,30.125,31.0,99.42222388888888,9.660192765295506,8.880716562271118,10.309867560863495
2,132.0,3.2600002,3.261375075,3.262,1.999800000000107,30.0,30.25,31.0,99.41500149999999,9.660192765295506,8.880716562271118,10.309867560863495
3,132.0,3.259,3.26125005,3.262,3.0000000000001137,30.0,30.25,31.0,99.41363681818183,9.660192765295506,8.880716562271118,10.309867560863495
4,133.0,3.2600002,3.261250075,3.262,1.999800000000107,30.0,30.25,31.0,99.40833333333332,9.660192765295506,8.880716562271118,10.309867560863495
5,134.6001,3.259,3.2603751,3.262,3.0000000000001137,30.0,30.25,31.0,99.40384576923076,9.660192765295506,8.880716562271118,10.309867560863495
6,134.80005,3.259,3.2607500750000002,3.262,3.0000000000001137,30.0,30.25,31.0,99.4035707142857,9.660192765295506,8.880716562271118,10.309867560863495
7,131.80005,3.259,3.2603751,3.262,3.0000000000001137,30.0,30.25,31.0,99.40333233333332,9.660192765295506,8.880716562271118,10.309867560863495
8,133.80005,3.2580001,3.2600001374999996,3.2610002,3.00009999999995,30.0,30.25,31.0,99.36666566666666,9.660192765295506,8.880716562271118,10.309867560863495
9,133.19995,3.259,3.2602500999999995,3.262,3.0000000000001137,30.0,30.25,31.0,99.36999866666666,9.660192765295506,8.880716562271118,10.309867560863495
10,132.90015,3.259,3.260125125,3.2610002,2.0001999999998965,30.0,30.375,31.0,99.36666466666665,9.660192765295506,8.880716562271118,10.309867560863495
11,135.30005,3.2580001,3.2601251624999996,3.2610002,3.00009999999995,30.0,30.375,31.0,99.36666466666665,9.660192765295506,8.880716562271118,10.309867560863495
12,135.1001,3.2580001,3.259375125,3.2610002,3.00009999999995,30.0,30.375,31.0,99.36333066666666,9.660192765295506,8.880716562271118,10.309867560863495
13,135.80005,3.2580001,3.25937515,3.2600002,2.00010000000006,30.0,30.375,31.0,99.35999666666666,9.660192765295506,8.880716562271118,10.309867560863495
