time,V1,V2,V3,V4,V5,V6,V7,V8,SOC1,SOC2,SOC3,SOC4,SOC5,SOC6,SOC7,SOC8,I1,I2,I3,I4,I5,I6,I7,I8,T1,T2,T3,T4,T5,T6,T7,T8
0,27.3149227387079,27.2096957004227,27.3147332159479,27.2854049628054,27.3147329531672,27.2854046325868,27.4119251921308,27.2855901505522,0.65,0.6,0.65,0.7,0.65,0.7,0.75,0.7,0.999700114572279,0.999400230292109,0.999399814847387,0.999399398496142,0.999399398470077,0.999398863968203,0.999398328288368,0.999699163697198,27,24,27,25,27,25,25,25
1,27.3393827596116,27.2453203154639,27.3391856147117,27.3199258573493,27.3391856147114,27.3199258573489,27.4330378636553,27.3201218834229,0.650097779674819,0.600097750485763,0.65009775027337,0.700097750323817,0.650097750273369,0.700097750323816,0.750097750067981,0.700097779700042,0.999699266789464,0.999400602953423,0.99939853791593,0.999398961631866,0.999398537915749,0.999398961631704,0.999396473166594,0.999699478659486,27.0018329278515,24.0018499917721,27.001831825732,25.001735551437,27.001831825732,25.0017355514372,25.0017879319395,25.0017365947392
2,27.3569231802885,27.2662148021805,27.3567206396505,27.3391040738354,27.3567206396506,27.3391040738356,27.4481729058338,27.3393060027194,0.650195559327366,0.600195500912522,0.650195500502211,0.700195500591896,0.650195500502211,0.700195500591895,0.750195500097528,0.700195559372209,0.999699073844572,0.999400143275241,0.99939815214546,0.999398539710422,0.999398152145882,0.999398539710953,0.999396140194963,0.999699267634523,27.0036961222189,24.003754720608,27.0036938989562,25.003533063826,27.0036938989562,25.0035330638261,25.0036017747582,25.0035351886794
3,27.3699069965287,27.279565096113,27.3697004594888,27.3510581794181,27.3697004594888,27.3510581794181,27.4594188521884,27.3512637920299,0.650293338964151,0.600293251304683,0.650293250699539,0.70029325082865,0.650293250699538,0.700293250828649,0.750293250099817,0.700293339028708,0.999698931023138,0.999399849567687,0.999397866590235,0.999398276719564,0.999397866590381,0.999398276719736,0.999395892785396,0.999699136098215,27.0055956883229,24.005708214555,27.0055923214518,25.005374592374,27.0055923214518,25.005374592374,25.0054462845041,25.0053778258409
4,27.3795939112519,27.2883678340034,27.3793843905286,27.3588672895215,27.3793843905286,27.3588672895215,27.467875525765,27.3590753112151,0.650391118588678,0.600391001672638,0.650391000872358,0.700391001043749,0.650391000872358,0.700391001043748,0.750391000080797,0.700391118674376,0.999698824467125,0.999399655907355,0.999397653543798,0.999398104919147,0.999397653543892,0.999398104919267,0.999395706738676,0.999699050171455,27.0075276311129,24.007696475153,27.0075231006903,25.0072428646043,27.0075231006903,25.0072428646043,25.0073178118867,25.0072472231938
5,27.3870203573514,27.2947033333233,27.3868085476834,27.3645549765301,27.3868085476834,27.3645549765301,27.474439439756,27.3647647539333,0.650488898203858,0.600488752023768,0.650488751026489,0.700488751243807,0.650488751026488,0.700488751243806,0.750488750045374,0.700488898312522,0.999698742776193,0.99939951652642,0.999397490212256,0.999397979790152,0.999397490212314,0.999397979790238,0.99939556233252,0.99969898758761,27.0094858684031,24.0097072581726,27.009480158244,25.0091258514847,27.009480158244,25.0091258514848,25.0092111144792,25.009131344351
6,27.3929194750657,27.2997377188093,27.3927058462901,27.369175483387,27.3927058462902,27.369175483387,27.4797366567579,27.3693866872626,0.650586677811782,0.600586502362406,0.650586501166112,0.700586501432546,0.650586501166112,0.700586501432545,0.75058649999704,0.700586677945006,0.999698677885856,0.999399405770022,0.999397360471584,0.999397878139126,0.999397360471622,0.999397878139184,0.999395445793674,0.999698936746379,27.0114644318153,24.0117327528487,27.0114575293977,25.0110177150025,27.0114575293977,25.0110177150026,25.0111212340063,25.0110243477163
7,27.3977792352319,27.3040508161404,27.3975641074641,27.373209335071,27.3975641074641,27.3732093350709,27.4841773420862,27.3734217842176,0.650684457413875,0.600684252690913,0.650684251294078,0.700684251611921,0.650684251294078,0.70068425161192,0.750684249938159,0.700684457572807,0.999698624428458,0.999399310881955,0.999397253589753,0.999397789394483,0.999397253589781,0.999397789394524,0.999395348098537,0.999698892360342,27.0134585130721,24.0137688789786,27.0134504088183,25.0129164222304,27.0134504088183,25.0129164222304,25.0130443121527,25.0129241990998
8,27.4019197508334,27.3079181460336,27.4017033459122,27.3768676169387,27.4017033459122,27.3768676169387,27.4880259573287,27.3770811953338,0.650782237011106,0.60078200301061,0.650782001412322,0.700782001783023,0.650782001412322,0.700782001783022,0.750781999870325,0.70078223719647,0.999698578882758,0.999399225800753,0.999397162526447,0.999397708912348,0.99939716252647,0.999397708912377,0.999395263428961,0.999698852106841,27.0154646124212,24.0158137763213,27.0154552988963,25.0148215630127,27.0154552988963,25.0148215630126,25.0149776424246,25.0148304880764
9,27.4055521500053,27.3114737623201,27.4053346248897,27.3802498571081,27.4053346248896,27.3802498571081,27.4914539550921,27.3804644795128,0.650880016604144,0.600879753322325,0.650879751522183,0.700879751946558,0.650879751522182,0.700879751946557,0.750879749794645,0.700880016816348,0.999698538926349,0.999399147577231,0.999397082638269,0.999397634503107,0.99939708263829,0.999397634503127,0.999395188012985,0.999698814890728,27.0174803173917,24.0178666744685,27.0174697886394,25.0167332163578,27.0174697886394,25.0167332163577,25.0169194345499,25.0167432936881
